,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
0,0,1,911,100,868.13,6.900615716338375,1,0.1496770891877495,0.198
1341,1341,100,949,100,57.392,7.297546281350945,1,0.141037457761096,0.415
1340,1340,1,949,100,905.694,7.297546281350945,1,0.141037457761096,0.415
1339,1339,100,983,100,37.685,14.128289964522333,1,0.068179357699887,0.731
1338,1338,1,983,100,936.975,14.128289964522333,1,0.068179357699887,0.731
1337,1337,100,957,100,58.446,7.323056171862702,1,0.1405908217061912,0.179
1336,1336,1,957,100,912.461,7.323056171862702,1,0.1405908217061912,0.179
1335,1335,100,1078,100,34.13,8.237953544766928,1,0.1246379077417146,0.288
1334,1334,1,1078,100,1033.784,8.237953544766928,1,0.1246379077417146,0.288
1333,1333,100,957,100,44.409,7.452873260883936,1,0.1378363584762851,0.186
1332,1332,1,957,100,914.882,7.452873260883936,1,0.1378363584762851,0.186
1331,1331,100,1028,100,41.537,8.174175543354815,1,0.1250874220463113,0.198
1330,1330,1,1028,100,984.241,8.174175543354815,1,0.1250874220463113,0.198
1329,1329,100,831,100,32.493,8.000267152907615,1,0.1247596115236065,0.655
1328,1328,1,831,100,788.954,8.000267152907615,1,0.1247596115236065,0.655
1327,1327,100,948,100,35.561,7.50797290890212,1,0.1364678163092358,0.214
1326,1326,1,948,100,903.639,7.50797290890212,1,0.1364678163092358,0.214
1325,1325,100,941,100,67.866,7.463683429021889,1,0.1372971761266611,0.405
1324,1324,1,941,100,897.927,7.463683429021889,1,0.1372971761266611,0.405
1323,1323,100,934,100,54.518,8.285530160624495,1,0.121776425966235,0.062
1322,1322,1,934,100,890.069,8.285530160624495,1,0.121776425966235,0.062
1321,1321,100,972,100,38.385,7.718863275443242,1,0.132671212619148,0.198
1320,1320,1,972,100,930.096,7.718863275443242,1,0.132671212619148,0.198
1319,1319,100,1182,100,68.164,11.127683055357284,1,0.0900446458806536,0.927
1318,1318,1,1182,100,1136.66,11.127683055357284,1,0.0900446458806536,0.927
1317,1317,100,1036,100,56.213,8.533150521991773,1,0.1193030417132007,0.164
