,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
0,1,201,100,125934.01220902443,3925.617892046908,1125,0.0001523113969079704,386.00038500077005
1,100,201,100,9359.000358000716,3925.617892046908,1125,0.0001523113969079704,386.00038500077005
2,1,209,100,133423.0106980214,1178.9084754854134,1125,0.0009648676577368739,191.00019000038003
3,100,209,100,9044.000043000085,1178.9084754854134,1125,0.0009648676577368739,191.00019000038003
4,1,182,100,102849.010499021,5287.982324554954,1125,9.539722661278636e-05,299.00029800059605
5,100,182,100,7017.000266000532,5287.982324554954,1125,9.539722661278636e-05,299.00029800059605
6,1,218,100,143712.0108620217,10192.401299654546,1125,5.677904582022905e-05,320.00031900063806
7,100,218,100,9019.000018000035,10192.401299654546,1125,5.677904582022905e-05,320.00031900063806
8,1,201,100,123482.00975701952,3601.3134338988953,1125,0.0001682262319747101,268.00026700053405
9,100,201,100,5890.000264000528,3601.3134338988953,1125,0.0001682262319747101,268.00026700053405
10,1,193,100,114718.00999301998,985.3466777416597,1125,0.0012325406833224332,108.00010700021402
11,100,193,100,7041.00029000058,985.3466777416597,1125,0.0012325406833224332,108.00010700021402
12,1,209,100,135278.0125530251,9994.889330926102,1125,5.579289267409705e-05,374.00037300074604
13,100,209,100,8273.000397000795,9994.889330926102,1125,5.579289267409705e-05,374.00037300074604
14,1,183,100,105140.01166502332,6651.792065956651,1125,7.463103027336275e-05,294.00029300058605
15,100,183,100,5744.000118000236,6651.792065956651,1125,7.463103027336275e-05,294.00029300058605
16,1,201,100,123815.01009002018,5774.940658541353,1125,9.740121388359389e-05,281.00028000056005
17,100,201,100,5726.0001000002,5774.940658541353,1125,9.740121388359389e-05,281.00028000056005
18,1,218,100,144893.0120430241,10107.438910199715,1125,5.732249528406519e-05,376.00037500075
19,100,218,100,9073.000072000144,10107.438910199715,1125,5.732249528406519e-05,376.00037500075
20,1,201,100,124569.01084402169,5703.69859686797,1125,9.883797783331988e-05,328.000327000654
21,100,201,100,8643.000767001535,5703.69859686797,1125,9.883797783331988e-05,328.000327000654
22,1,205,100,130461.01223602447,10113.296126861733,1125,5.40466894095187e-05,308.00030700061404
23,100,205,100,6815.000064000128,10113.296126861733,1125,5.40466894095187e-05,308.00030700061404
24,1,196,100,117890.00979001958,1509.7561792346587,1125,0.0005392585827914034,183.00018200036402
25,100,196,100,6907.000156000312,1509.7561792346587,1125,0.0005392585827914034,183.00018200036402
26,1,221,100,145857.00963201927,1186.7438704670185,1125,0.0010393993717269338,46.000045000090005
27,100,221,100,6789.000038000076,1186.7438704670185,1125,0.0010393993717269338,46.000045000090005
28,1,219,100,144334.01035902073,923.1263913653846,1125,0.0020577316731334554,3.000002000004
29,100,219,100,7978.000102000204,923.1263913653846,1125,0.0020577316731334554,3.000002000004
30,1,193,100,112385.00766001531,3148.222983088015,1125,0.00018779455421504985,210.000209000418
31,100,193,100,9204.000203000405,3148.222983088015,1125,0.00018779455421504985,210.000209000418
32,1,210,100,135413.01156302312,1093.695372710735,1125,0.0011669475881809807,1.0
33,100,210,100,6993.000242000484,1093.695372710735,1125,0.0011669475881809807,1.0
34,1,202,100,126781.01193102387,7909.475705204788,1125,6.934373925693306e-05,320.00031900063806
35,100,202,100,10190.000064000127,7909.475705204788,1125,6.934373925693306e-05,320.00031900063806
36,1,185,100,106504.01077902156,913.9761906192904,1125,0.00135822703593627,25.000024000048
37,100,185,100,5663.000037000074,913.9761906192904,1125,0.00135822703593627,25.000024000048
38,1,175,100,94636.01016102033,2756.9035210202683,1125,0.0001933876353005276,240.00023900047802
39,100,175,100,6814.000063000126,2756.9035210202683,1125,0.0001933876353005276,240.00023900047802
40,1,186,100,106845.00999502,5276.118860057078,1125,9.83404367516973e-05,327.000326000652
41,100,186,100,7089.0003380006765,5276.118860057078,1125,9.83404367516973e-05,327.000326000652
42,1,216,100,141248.0106480213,3716.8780440218384,1125,0.0001753331508212342,163.00016200032402
43,100,216,100,10284.000158000315,3716.8780440218384,1125,0.0001753331508212342,163.00016200032402
44,1,194,100,116715.01086502173,4177.238528513353,1125,0.0001355112658489993,299.00029800059605
45,100,194,100,5678.000052000104,4177.238528513353,1125,0.0001355112658489993,299.00029800059605
46,1,180,100,101274.01117402235,5416.257687873153,1125,9.156960194358339e-05,302.000301000602
47,100,180,100,9118.000117000234,5416.257687873153,1125,9.156960194358339e-05,302.000301000602
48,1,188,100,108002.0089020178,1830.0318283170425,1125,0.0003728118884056024,221.00022000044
49,100,188,100,8016.00014000028,1830.0318283170425,1125,0.0003728118884056024,221.00022000044
50,1,183,100,106137.01266202531,1382.7179283619248,1125,0.0005650087947435304,257.000256000512
51,100,183,100,5712.000086000172,1382.7179283619248,1125,0.0005650087947435304,257.000256000512
52,1,190,100,109382.00803201606,3563.4440773008,1125,0.000158542154394976,219.000218000436
53,100,190,100,7904.000028000056,3563.4440773008,1125,0.000158542154394976,219.000218000436
54,1,189,100,110606.01038102077,808.789362177601,1125,0.0021062506882626813,2.0000010000020003
55,100,189,100,5689.000063000126,808.789362177601,1125,0.0021062506882626813,2.0000010000020003
56,1,182,100,102011.00966101933,2649.8024044045264,1125,0.00021564588306922933,230.00022900045803
57,100,182,100,4565.000064000128,2649.8024044045264,1125,0.00021564588306922933,230.00022900045803
58,1,175,100,95702.01122702245,4001.5980285975206,1125,0.00012405354510196956,335.00033400066803
59,100,175,100,6930.000179000358,4001.5980285975206,1125,0.00012405354510196956,335.00033400066803
60,1,189,100,113096.01287102574,8479.42094400207,1125,5.9751011002993504e-05,345.000344000688
61,100,189,100,5714.000088000176,8479.42094400207,1125,5.9751011002993504e-05,345.000344000688
62,1,202,100,125835.01098502197,1998.7492548689215,1125,0.0003670222076179985,159.00015800031602
63,100,202,100,7990.000114000228,1998.7492548689215,1125,0.0003670222076179985,159.00015800031602
64,1,198,100,120757.01040702082,882.3028036964296,1125,0.0018168690637140035,1.0
65,100,198,100,6807.000056000112,882.3028036964296,1125,0.0018168690637140035,1.0
66,1,193,100,114715.00999001999,877.0603103238731,1125,0.0017046195035638762,1.0
67,100,193,100,9202.000201000403,877.0603103238731,1125,0.0017046195035638762,1.0
68,1,195,100,118441.01146602293,1966.8031990305915,1125,0.00035837478752479907,209.00020800041602
69,100,195,100,5988.000362000724,1966.8031990305915,1125,0.00035837478752479907,209.00020800041602
70,1,201,100,123198.00947301894,890.2120142020051,1125,0.001812159596511158,1.0
71,100,201,100,7930.000054000108,890.2120142020051,1125,0.001812159596511158,1.0
72,1,193,100,114697.00997201995,5119.594079877411,1125,0.00010648229307915434,222.00022100044202
73,100,193,100,7967.000091000182,5119.594079877411,1125,0.00010648229307915434,222.00022100044202
74,1,211,100,134900.00992501984,960.2798286313358,1125,0.0016391255689998737,67.00006600013201
75,100,211,100,9006.00000500001,960.2798286313358,1125,0.0016391255689998737,67.00006600013201
76,1,196,100,119251.0111510223,1121.9737258743721,1125,0.0009537449673954073,108.00010700021402
77,100,196,100,7922.000046000092,1121.9737258743721,1125,0.0009537449673954073,108.00010700021402
78,1,221,100,147161.01093602186,8530.819028431191,1125,6.961424525703216e-05,292.000291000582
79,100,221,100,11665.000414000828,8530.819028431191,1125,6.961424525703216e-05,292.000291000582
80,1,208,100,131551.00995101992,953.666787040485,1125,0.0016164837819623125,6.000005000010001
81,100,208,100,6868.000117000234,953.666787040485,1125,0.0016164837819623125,6.000005000010001
82,1,177,100,96927.0102020204,746.4988942992107,1125,0.0021872953083726257,2.0000010000020003
83,100,177,100,4571.00007000014,746.4988942992107,1125,0.0021872953083726257,2.0000010000020003
84,1,184,100,104539.00993901989,1543.779897235366,1125,0.00046792358440618753,208.000207000414
85,100,184,100,6759.000008000016,1543.779897235366,1125,0.00046792358440618753,208.000207000414
86,1,186,100,108652.0118020236,7288.973090188421,1125,6.896015400099829e-05,284.000283000566
87,100,186,100,5653.000027000054,7288.973090188421,1125,6.896015400099829e-05,284.000283000566
88,1,208,100,133547.0119470239,4714.508055729327,1125,0.00012749821784089452,286.00028500057005
89,100,208,100,9265.000264000528,4714.508055729327,1125,0.00012749821784089452,286.00028500057005
90,1,195,100,119728.01275302551,7762.88821810644,1125,6.814749060613536e-05,368.00036700073406
91,100,195,100,6818.000067000134,7762.88821810644,1125,6.814749060613536e-05,368.00036700073406
92,1,197,100,118156.00893101786,1574.6618738198526,1125,0.0005050705432194126,187.00018600037203
93,100,197,100,10138.000012000024,1574.6618738198526,1125,0.0005050705432194126,187.00018600037203
94,1,179,100,98128.0091530183,2239.621703278773,1125,0.00026092906703906475,255.00025400050802
95,100,179,100,4576.00007500015,2239.621703278773,1125,0.00026092906703906475,255.00025400050802
96,1,176,100,97298.01169802339,845.1984507752716,1125,0.001476963767786512,1.0
97,100,176,100,9022.000021000042,845.1984507752716,1125,0.001476963767786512,1.0
98,1,190,100,112662.01131202262,2000.2997467267667,1125,0.0003365807887369673,248.00024700049403
99,100,190,100,7998.000122000244,2000.2997467267667,1125,0.0003365807887369673,248.00024700049403
100,1,203,100,126957.01098202197,2421.0081725135315,1125,0.00028257294614898905,216.00021500043002
101,100,203,100,7909.000033000066,2421.0081725135315,1125,0.00028257294614898905,216.00021500043002
102,1,205,100,128512.01028702057,927.9836832908114,1125,0.001701103349583,7.000006000012
103,100,205,100,6757.000006000012,927.9836832908114,1125,0.001701103349583,7.000006000012
104,1,205,100,128602.01037702075,3181.055348520861,1125,0.00020056757335105575,245.000244000488
105,100,205,100,8017.000141000282,3181.055348520861,1125,0.00020056757335105575,245.000244000488
106,1,206,100,129891.01054102108,2212.040778530839,1125,0.0003253635732374578,216.00021500043002
107,100,206,100,6824.000073000146,2212.040778530839,1125,0.0003253635732374578,216.00021500043002
108,1,183,100,103677.0102020204,870.5467865692378,1125,0.0014919188756294544,1.0
109,100,183,100,6840.000089000178,870.5467865692378,1125,0.0014919188756294544,1.0
110,1,207,100,130434.00995901992,1117.8317793087454,1125,0.001059855399476815,106.00010500021001
111,100,207,100,10132.000006000011,1117.8317793087454,1125,0.001059855399476815,106.00010500021001
112,1,197,100,119780.01055502112,7196.346852332268,1125,7.473609379204634e-05,284.000283000566
113,100,197,100,11355.000104000208,7196.346852332268,1125,7.473609379204634e-05,284.000283000566
114,1,186,100,107600.0107500215,5916.524084449138,1125,8.661728074000903e-05,323.000322000644
115,100,186,100,5726.0001000002,5916.524084449138,1125,8.661728074000903e-05,323.000322000644
116,1,176,100,96454.01085402172,915.7637064798739,1125,0.0011742819613986457,67.00006600013201
117,100,176,100,8141.00026500053,915.7637064798739,1125,0.0011742819613986457,67.00006600013201
118,1,202,100,127399.0125490251,3743.8837729361085,1125,0.00016219684248141184,299.00029800059605
119,100,202,100,10271.00014500029,3743.8837729361085,1125,0.00016219684248141184,299.00029800059605
120,1,176,100,94957.00935701872,702.2784823453395,1125,0.0026532603902634146,1.0
121,100,176,100,5646.00002000004,702.2784823453395,1125,0.0026532603902634146,1.0
122,1,196,100,119478.01137802275,1050.4177826715272,1125,0.001111061293056844,1.0
123,100,196,100,7938.000062000124,1050.4177826715272,1125,0.001111061293056844,1.0
124,1,188,100,110524.01142402284,2640.7796642508524,1125,0.0002280132016436763,247.000246000492
125,100,188,100,5713.000087000174,2640.7796642508524,1125,0.0002280132016436763,247.000246000492
126,1,221,100,146218.00999301998,2391.385986712987,1125,0.0003165233344224158,168.00016700033402
127,100,221,100,9026.00002500005,2391.385986712987,1125,0.0003165233344224158,168.00016700033402
128,1,181,100,102461.01123602247,1661.9209474128502,1125,0.00040837587954414286,184.000183000366
129,100,181,100,4896.00039500079,1661.9209474128502,1125,0.00040837587954414286,184.000183000366
130,1,210,100,133646.00979601959,898.3006926971764,1125,0.0020001041628651263,1.0
131,100,210,100,9156.00015500031,898.3006926971764,1125,0.0020001041628651263,1.0
132,1,185,100,105397.00967201934,750.6963230138782,1125,0.0025386918981626034,4.000003000006
133,100,185,100,6870.000119000238,750.6963230138782,1125,0.0025386918981626034,4.000003000006
134,1,186,100,107080.01023002046,854.2113137745881,1125,0.0016601260873637782,1.0
135,100,186,100,7892.000016000032,854.2113137745881,1125,0.0016601260873637782,1.0
136,1,205,100,128840.01061502124,2340.308340351287,1125,0.0002992107682029484,211.00021000042003
137,100,205,100,6908.000157000314,2340.308340351287,1125,0.0002992107682029484,211.00021000042003
138,1,203,100,129179.01320402641,6451.082782158,1125,8.725923714014224e-05,385.000384000768
139,100,203,100,7883.000007000014,6451.082782158,1125,8.725923714014224e-05,385.000384000768
140,1,184,100,104819.01021902043,1982.2810848753113,1125,0.00032317547991670125,282.00028100056204
141,100,184,100,9100.000099000197,1982.2810848753113,1125,0.00032317547991670125,282.00028100056204
142,1,185,100,106583.0108580217,3967.111600004392,1125,0.0001354943059524596,293.000292000584
143,100,185,100,7978.000102000204,3967.111600004392,1125,0.0001354943059524596,293.000292000584
144,1,212,100,135879.00977901957,2551.905576679204,1125,0.00027645790215108585,208.000207000414
145,100,212,100,6820.000069000138,2551.905576679204,1125,0.00027645790215108585,208.000207000414
146,1,192,100,113306.00970601941,2225.2331533615343,1125,0.00029305078878623847,275.000274000548
147,100,192,100,6926.00017500035,2225.2331533615343,1125,0.00029305078878623847,275.000274000548
148,1,185,100,105296.00957101914,2009.4998173258818,1125,0.00031899547902219325,302.000301000602
