,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
0,0,1,1981,1000,1212625.1080002158,9011.45413869217,1125,5.895763783113522e-05,396.0003950007901
12655,655,1000,2083,1000,2250.0,15150.021323313733,1125,3.582050891216196e-05,422.0004210008421
12656,656,1,1973,1000,1196825.1012002025,33469.21771321193,1125,1.500664546538462e-05,532.0005310010621
12657,657,1000,1973,1000,1725.00059500119,33469.21771321193,1125,1.500664546538462e-05,532.0005310010621
12658,658,1,2015,1000,1242149.0992741983,43346.61476468157,1125,1.178844268177633e-05,578.000577001154
12659,659,1000,2015,1000,2250.0,43346.61476468157,1125,1.178844268177633e-05,578.000577001154
12660,660,1,1979,1000,1211157.1087822176,27818.325117302866,1125,1.8183064842609284e-05,577.000576001152
12661,661,1000,1979,1000,1870.000741001482,27818.325117302866,1125,1.8183064842609284e-05,577.000576001152
12662,662,1,2037,1000,1266450.0988251977,26342.690372315144,1125,1.9792489890422224e-05,669.0006680013361
12663,663,1000,2037,1000,2250.0,26342.690372315144,1125,1.9792489890422224e-05,669.0006680013361
12664,664,1,2028,1000,1262286.1047862095,44494.9603012126,1125,1.1554002893191032e-05,531.00053000106
12665,665,1000,2028,1000,2250.0,44494.9603012126,1125,1.1554002893191032e-05,531.00053000106
12666,666,1,1957,1000,1180060.1024352051,890.2548452017586,1125,0.0017023361844985,1.0
12667,667,1000,1957,1000,1647.0005180010362,890.2548452017586,1125,0.0017023361844985,1.0
12668,668,1,2026,1000,1261832.1065822132,22199.88332831004,1125,2.3470134125320145e-05,423.000422000844
12669,669,1000,2026,1000,2250.0,22199.88332831004,1125,2.3470134125320145e-05,423.000422000844
12670,670,1,2054,1000,1289540.1027902055,35672.831328675216,1125,1.464245688015148e-05,514.0005130010261
12671,671,1000,2054,1000,2250.0,35672.831328675216,1125,1.464245688015148e-05,514.0005130010261
12672,672,1,2023,1000,1257522.105647211,45417.6643012207,1125,1.1288598136663843e-05,603.000602001204
12673,673,1000,2023,1000,2250.0,45417.6643012207,1125,1.1288598136663843e-05,603.000602001204
12674,674,1,1996,1000,1227863.1063632127,52516.17889037004,1125,9.614416531815138e-06,692.000691001382
12675,675,1000,1996,1000,2250.0,52516.17889037004,1125,9.614416531815138e-06,692.000691001382
12676,676,1,1926,1000,1150603.1078532157,24283.11669572523,1125,2.0298702354887023e-05,523.000522001044
12677,677,1000,1926,1000,1551.000424000848,24283.11669572523,1125,2.0298702354887023e-05,523.000522001044
12678,678,1,1934,1000,1152220.100470201,61505.16339058952,1125,7.92877576338295e-06,527.0005260010521
12679,679,1000,1934,1000,1570.000439000878,61505.16339058952,1125,7.92877576338295e-06,527.0005260010521
12680,680,1,1894,1000,1111289.104539209,27949.77450685452,1125,1.7250167470426103e-05,561.0005600011201
12681,681,1000,1894,1000,1479.000353000706,27949.77450685452,1125,1.7250167470426103e-05,561.0005600011201
12654,654,1,2083,1000,1323418.104043208,15150.021323313733,1125,3.582050891216196e-05,422.0004210008421
12682,682,1,2015,1000,1244080.1012052023,19584.50510241633,1125,2.6557681491245743e-05,490.00048900097806
12653,653,1000,1965,1000,1705.000578001156,63243.34910681608,1125,7.840055465910098e-06,523.000522001044
12651,651,1000,2018,1000,2250.0,59071.927288081984,1125,8.630503545099301e-06,642.000641001282
12624,624,1,1952,1000,1180293.108293217,30702.818136752805,1125,1.6203811846428097e-05,526.00052500105
