,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
13999,1999,100,116608,100,77725.2,20276.609866429728,20,4.932424497986648e-05,0.898
12657,657,100,123288,100,125703.004,27200.10629707405,20,3.676176130513884e-05,8.559
12658,658,1,117590,100,2350762.712,19588.422971434546,20,5.105925697759256e-05,1.001
12659,659,100,117590,100,116645.801,19588.422971434546,20,5.105925697759256e-05,1.001
12660,660,1,128648,100,2571899.879,22257.31510014705,20,4.493448558761272e-05,0.898
12661,661,100,128648,100,143492.6,22257.31510014705,20,4.493448558761272e-05,0.898
12662,662,1,127383,100,2546631.016,26360.83186061901,20,3.793405860342438e-05,8.559
12663,663,100,127383,100,106166.904,26360.83186061901,20,3.793405860342438e-05,8.559
12664,664,1,127217,100,2543319.707,27560.32958725085,20,3.6281833424812e-05,9.076
12665,665,100,127217,100,105007.489,27560.32958725085,20,3.6281833424812e-05,9.076
12666,666,1,123862,100,2476264.171,22488.532491889346,20,4.447074146426243e-05,0.898
12667,667,100,123862,100,141466.586,22488.532491889346,20,4.447074146426243e-05,0.898
12668,668,1,122424,100,2447421.717,26762.369694413224,20,3.736328736509023e-05,9.076
12669,669,100,122424,100,112875.596,26762.369694413224,20,3.736328736509023e-05,9.076
12670,670,1,119408,100,2387111.359,28373.78329586181,20,3.5239114839727896e-05,9.076
12671,671,100,119408,100,124643.004,28373.78329586181,20,3.5239114839727896e-05,9.076
12672,672,1,121347,100,2425919.2,21051.111494969988,20,4.7509401373145714e-05,1.356
12673,673,100,121347,100,172822.526,21051.111494969988,20,4.7509401373145714e-05,1.356
12674,674,1,123148,100,2461916.9,21378.23955052471,20,4.678230012002372e-05,0.898
12675,675,100,123148,100,124453.431,21378.23955052471,20,4.678230012002372e-05,0.898
12676,676,1,123601,100,2470978.79,26917.114801597418,20,3.714861759296325e-05,7.993
12677,677,100,123601,100,132401.356,26917.114801597418,20,3.714861759296325e-05,7.993
12678,678,1,116557,100,2330169.877,19252.272619524243,20,5.195130279387659e-05,1.741
12679,679,100,116557,100,100432.494,19252.272619524243,20,5.195130279387659e-05,1.741
12680,680,1,119437,100,2387711.534,19729.81891440204,20,5.069363175449879e-05,1.209
12681,681,100,119437,100,115604.913,19729.81891440204,20,5.069363175449879e-05,1.209
12682,682,1,127735,100,2553706.585,22392.437170459016,20,4.4662848944426666e-05,0.898
12683,683,100,127735,100,103510.401,22392.437170459016,20,4.4662848944426666e-05,0.898
12656,656,1,123288,100,2464716.628,27200.10629707405,20,3.676176130513884e-05,8.559
12684,684,1,124587,100,2490765.128,21029.88483823738,20,4.75584223138089e-05,1.741
12655,655,100,118600,100,123687.504,21020.67275007725,20,4.757735321383405e-05,1.001
12653,653,100,126573,100,110909.033,22102.846615264632,20,4.524822310058855e-05,1.001
12626,626,1,103419,100,2067331.159,19986.42405974728,20,5.003562727382188e-05,2.312
12627,627,100,103419,100,113890.421,19986.42405974728,20,5.003562727382188e-05,2.312
12628,628,1,114126,100,2281516.197,22453.048039675134,20,4.453801293395585e-05,8.549
12629,629,100,114126,100,117771.868,22453.048039675134,20,4.453801293395585e-05,8.549
12630,630,1,132621,100,2651393.765,30206.096116179924,20,3.3102846807488974e-05,8.598
12631,631,100,132621,100,129222.872,30206.096116179924,20,3.3102846807488974e-05,8.598
12632,632,1,114408,100,2287181.267,19344.28482553306,20,5.170310321764133e-05,2.307
12633,633,100,114408,100,110306.918,19344.28482553306,20,5.170310321764133e-05,2.307
12634,634,1,129461,100,2588156.811,28907.261377003822,20,3.459058543105323e-05,8.559
